T(N.m);N(r/min);Pout(W);U(V);I(A);Pin(W);Eff(%)
0.00;83;0.00;23.97;0.467;11.19;0.0
0.02;83;0.18;23.97;0.479;11.47;1.5
0.03;83;0.26;23.97;0.484;11.61;2.3
0.18;83;1.58;23.97;0.572;13.71;11.5
0.48;83;4.20;23.96;0.747;17.91;23.5
0.87;83;7.60;23.95;0.975;23.36;32.6
1.37;83;11.85;23.94;1.262;30.20;39.2
1.99;83;17.20;23.93;1.624;38.86;44.3
2.70;82;23.27;23.91;2.039;48.75;47.7
3.43;82;29.38;23.89;2.460;58.78;50.0
4.31;82;36.78;23.88;2.974;71.01;51.8
5.22;81;44.36;23.86;3.506;83.64;53.0
6.22;81;52.51;23.83;4.085;97.35;53.9
7.32;80;61.45;23.81;4.728;112.56;54.6
8.46;80;70.51;23.78;5.388;128.15;55.0
9.69;79;80.23;23.76;6.107;145.09;55.3
10.93;78;89.81;23.73;6.826;161.98;55.4
12.27;78;100.08;23.70;7.609;180.34;55.5
13.65;77;110.40;23.67;8.410;199.07;55.5
15.02;77;120.46;23.64;9.205;217.61;55.4
16.45;76;130.84;23.61;10.041;237.05;55.2
17.91;75;141.17;23.58;10.888;256.71;55.0
19.37;75;151.37;23.55;11.742;276.46;54.8
20.92;74;161.90;23.51;12.642;297.22;54.5
22.48;73;172.26;23.48;13.548;318.06;54.2
